contract_id,creator_id,brand,niche,total_clauses,red_flag_count,compliant_clause_count,missing_kill_fee,missing_ftc_disclosure,has_perpetual_exclusivity,has_uncompensated_usage_rights,payment_terms_days,revision_rounds_stated,estimated_hidden_value_usd,risk_rating,contract_date,analysed_by_ai
CON0018,CRE0542,Skillshare,Food & Cooking,7,1,6,False,False,False,False,60,2,2241.83,Medium,2025-03-21,True
CON0019,CRE0385,ExpressVPN,Language Learning,7,1,6,False,False,False,False,90,2,342.6,Medium,2025-08-04,True
CON0020,CRE0508,Canva,Education & Online Courses,7,1,6,False,False,False,False,60,2,1926.28,Medium,2025-12-19,False
CON0021,CRE0392,Magic Spoon,Finance & Investing,7,4,3,True,False,False,True,90,2,5903.07,Critical,2025-06-07,False
CON0022,CRE0458,Morning Brew,Science & Space,7,4,3,False,False,False,False,30,2,8272.97,Critical,2025-10-31,False
CON0023,CRE0177,Asana,Finance & Investing,7,0,7,True,False,False,False,90,Unlimited,0.0,Low,2025-03-19,True
CON0024,CRE0523,LastPass,Business & Entrepreneurship,7,1,6,False,False,False,False,90,2,1694.03,Medium,2025-10-22,False
CON0025,CRE0033,Brilliant,Science & Space,7,1,6,False,False,False,False,90,Unlimited,2096.43,Medium,2026-02-18,False
CON0026,CRE0169,Robinhood,Comedy & Entertainment,7,1,6,False,False,False,False,30,Unlimited,457.12,Medium,2025-09-16,True
CON0027,CRE0108,Fiverr,Business & Entrepreneurship,7,2,5,True,False,False,False,30,1,1452.48,High,2025-09-23,False
CON0028,CRE0101,Audible,Home Decor & Interior Design,7,3,4,False,True,False,False,30,Unlimited,5779.66,Critical,2026-03-05,True
CON0029,CRE0156,Skillshare,Photography & Videography,7,2,5,True,False,False,True,45,1,703.52,High,2025-07-16,True
CON0030,CRE0131,Brilliant,Pet Care,7,1,6,True,False,False,False,30,2,963.57,Medium,2025-12-31,False
CON0031,CRE0104,Shopify,Science & Space,7,1,6,False,False,False,False,90,Unlimited,484.94,Medium,2025-07-11,False
CON0032,CRE0483,Asana,Food & Cooking,7,0,7,True,False,False,False,90,Unlimited,0.0,Low,2025-08-10,False
CON0033,CRE0355,MasterClass,Language Learning,7,0,7,False,False,False,False,30,Unlimited,0.0,Low,2025-06-11,False
CON0034,CRE0563,Athletic Greens,Personal Development,7,2,5,True,False,False,False,90,2,2529.2,High,2025-12-09,False
CON0035,CRE0157,Dollar Shave Club,Finance & Investing,7,0,7,False,False,False,False,60,Unlimited,0.0,Low,2025-06-17,True
CON0036,CRE0216,Noom,Business & Entrepreneurship,7,3,4,False,False,False,True,30,Unlimited,1504.67,Critical,2026-01-30,True
CON0037,CRE0296,Morning Brew,Pet Care,7,2,5,False,False,False,False,30,2,3329.0,High,2025-03-22,False
CON0038,CRE0415,Skillshare,Beauty & Fashion,7,1,6,True,False,False,False,45,3,642.86,Medium,2025-11-25,False
CON0039,CRE0574,Calm,Travel & Adventure,7,1,6,True,False,False,False,30,2,2391.64,Medium,2025-09-18,False
CON0040,CRE0377,MVMT Watches,Home Decor & Interior Design,7,0,7,False,False,False,False,90,1,0.0,Low,2026-02-09,True
CON0041,CRE0227,Brilliant,Personal Development,7,1,6,True,False,False,False,90,3,562.52,Medium,2025-04-22,False
CON0042,CRE0582,Monday.com,Technology & Software,7,1,6,True,False,False,False,60,Unlimited,439.99,Medium,2025-05-13,True
CON0043,CRE0332,Codecademy,Pet Care,7,2,5,False,False,False,True,30,Unlimited,4214.04,High,2026-03-15,False
CON0044,CRE0353,Codecademy,Education & Online Courses,7,3,4,False,False,False,True,90,2,6393.77,Critical,2026-03-01,False
CON0045,CRE0566,Airtable,Comedy & Entertainment,7,4,3,False,False,False,True,90,2,3359.17,Critical,2025-06-26,True
CON0046,CRE0015,Asana,Travel & Adventure,7,3,4,True,True,False,False,45,2,7097.28,Critical,2025-12-18,False
CON0047,CRE0570,Robinhood,Food & Cooking,7,1,6,False,False,False,False,30,2,647.67,Medium,2025-06-30,False
CON0048,CRE0053,Magic Spoon,Travel & Adventure,7,1,6,True,False,False,False,45,Unlimited,1894.95,Medium,2026-02-06,False
CON0049,CRE0179,Audible,Personal Development,7,1,6,False,False,False,True,90,Unlimited,1139.78,Medium,2025-03-30,False
CON0050,CRE0473,ExpressVPN,Photography & Videography,7,3,4,True,True,False,False,45,Unlimited,2424.77,Critical,2025-04-23,True
CON0051,CRE0066,HelloFresh,Food & Cooking,7,2,5,True,False,False,False,30,1,4018.65,High,2025-09-19,True
CON0052,CRE0600,HelloFresh,Parenting & Family,7,1,6,True,False,False,False,60,2,1453.13,Medium,2025-05-31,True
CON0053,CRE0038,Manscaped,Science & Space,7,1,6,False,False,False,True,60,2,2111.23,Medium,2025-10-02,True
CON0054,CRE0463,Airtable,Gaming & Esports,7,1,6,True,False,False,False,30,2,337.35,Medium,2025-09-03,False
CON0055,CRE0526,Calm,Photography & Videography,7,4,3,False,False,False,False,90,Unlimited,3948.64,Critical,2025-10-26,False
CON0056,CRE0508,Wix,Technology & Software,7,0,7,False,False,False,False,60,3,0.0,Low,2025-03-21,True
CON0057,CRE0038,HelloFresh,Photography & Videography,7,2,5,False,False,False,False,30,Unlimited,3318.65,High,2025-12-05,False
CON0058,CRE0173,ExpressVPN,Music & Audio Production,7,2,5,False,False,False,False,90,2,4698.73,High,2026-01-06,True
CON0059,CRE0157,Brilliant,Beauty & Fashion,7,0,7,False,False,False,False,30,Unlimited,0.0,Low,2025-10-19,True
CON0060,CRE0470,Factor Meals,Personal Development,7,1,6,True,False,False,False,90,Unlimited,1755.86,Medium,2026-03-13,True
CON0061,CRE0373,HelloFresh,Gaming & Esports,7,1,6,False,False,False,True,30,2,847.82,Medium,2025-11-11,False
CON0062,CRE0122,Dollar Shave Club,Photography & Videography,7,3,4,False,False,False,False,60,2,6879.57,Critical,2025-08-01,False
CON0063,CRE0051,Manscaped,Gaming & Esports,7,3,4,True,True,False,False,45,2,2268.92,Critical,2026-03-10,True
CON0064,CRE0188,Fiverr,Science & Space,7,0,7,False,False,False,False,30,3,0.0,Low,2025-04-01,True
CON0065,CRE0415,MasterClass,Pet Care,7,3,4,False,False,False,False,30,2,4556.25,Critical,2025-09-06,False
CON0066,CRE0550,MVMT Watches,Technology & Software,7,2,5,True,False,False,True,30,1,2740.13,High,2025-05-22,True
CON0067,CRE0425,LastPass,Language Learning,7,1,6,True,False,False,True,30,1,2092.2,Medium,2026-01-06,True
CON0068,CRE0540,Squarespace,Language Learning,7,2,5,False,False,False,True,30,1,958.23,High,2025-07-09,True
CON0069,CRE0422,Magic Spoon,Education & Online Courses,7,2,5,True,False,False,True,60,3,1468.65,High,2025-06-12,False
CON0070,CRE0505,Hover,Comedy & Entertainment,7,0,7,True,False,False,False,45,1,0.0,Low,2025-08-24,False
CON0071,CRE0416,Athletic Greens,Personal Development,7,3,4,True,False,False,False,30,2,1755.35,Critical,2025-07-21,False
CON0072,CRE0045,Wix,Science & Space,7,2,5,True,False,False,False,30,3,3895.44,High,2025-10-05,False
CON0073,CRE0573,Asana,Photography & Videography,7,3,4,False,True,False,False,45,2,4685.41,Critical,2025-09-06,False
CON0074,CRE0028,Hover,Language Learning,7,0,7,False,False,False,False,90,Unlimited,0.0,Low,2025-07-18,True
CON0075,CRE0567,Morning Brew,Business & Entrepreneurship,7,1,6,False,False,False,False,60,Unlimited,330.86,Medium,2026-01-28,True
CON0076,CRE0447,Acorns,Parenting & Family,7,1,6,False,False,False,False,90,Unlimited,1696.29,Medium,2025-10-21,True
CON0077,CRE0568,Squarespace,Comedy & Entertainment,7,3,4,False,False,False,True,60,Unlimited,6290.8,Critical,2025-08-25,True
CON0078,CRE0589,Noom,Finance & Investing,7,3,4,False,True,False,False,45,Unlimited,2861.06,Critical,2025-11-20,True
CON0079,CRE0323,Public,Personal Development,7,1,6,True,False,False,False,30,3,632.3,Medium,2026-03-12,False
CON0080,CRE0093,Manscaped,Personal Development,7,2,5,False,False,False,True,90,1,1738.83,High,2025-09-30,False
CON0081,CRE0130,Notion,Gaming & Esports,7,1,6,True,False,False,False,30,1,2408.5,Medium,2025-11-24,True
CON0082,CRE0023,NordVPN,Gaming & Esports,7,0,7,False,False,False,False,30,Unlimited,0.0,Low,2026-01-31,False
CON0083,CRE0450,Squarespace,Sustainable Living,7,2,5,True,False,False,True,30,1,3199.43,High,2026-02-19,False
CON0084,CRE0340,Ridge Wallet,Parenting & Family,7,0,7,False,False,False,False,60,2,0.0,Low,2026-02-11,False
CON0085,CRE0058,Codecademy,Technology & Software,7,3,4,False,True,False,True,90,Unlimited,7493.06,Critical,2026-01-09,False
CON0086,CRE0116,Factor Meals,Education & Online Courses,7,4,3,True,False,False,False,30,Unlimited,2816.91,Critical,2025-04-08,False
CON0087,CRE0529,Noom,Travel & Adventure,7,1,6,False,False,False,False,90,2,823.06,Medium,2025-09-28,True
CON0088,CRE0031,MVMT Watches,Food & Cooking,7,0,7,True,False,False,False,30,Unlimited,0.0,Low,2026-02-15,True
CON0089,CRE0222,Codecademy,Finance & Investing,7,1,6,True,False,False,True,90,1,1462.85,Medium,2025-04-27,True
CON0090,CRE0099,Toptal,Photography & Videography,7,2,5,False,False,False,False,60,Unlimited,2846.71,High,2025-08-21,True
CON0091,CRE0159,Robinhood,Home Decor & Interior Design,7,1,6,True,False,False,False,30,Unlimited,1691.26,Medium,2025-11-24,False
CON0092,CRE0002,Factor Meals,Science & Space,7,1,6,True,False,False,False,45,2,769.94,Medium,2026-01-26,False
CON0093,CRE0178,Shopify,Sustainable Living,7,1,6,False,False,False,False,60,Unlimited,2129.99,Medium,2025-12-09,False
CON0094,CRE0536,Codecademy,Science & Space,7,1,6,True,False,False,True,90,1,1302.57,Medium,2025-12-07,True
CON0095,CRE0397,Fiverr,Travel & Adventure,7,1,6,True,False,False,False,90,3,444.35,Medium,2025-05-12,True
CON0096,CRE0198,LastPass,Technology & Software,7,1,6,True,False,False,False,45,Unlimited,1673.7,Medium,2025-03-24,True
CON0097,CRE0382,Fiverr,Home Decor & Interior Design,7,2,5,False,False,False,True,30,Unlimited,4010.16,High,2025-04-13,False
CON0098,CRE0074,Headspace,Business & Entrepreneurship,7,0,7,False,False,False,False,30,2,0.0,Low,2025-05-02,False
CON0099,CRE0018,Magic Spoon,Technology & Software,7,2,5,False,False,False,False,30,2,1822.64,High,2026-03-05,False
CON0100,CRE0365,Hover,Personal Development,7,1,6,True,False,False,False,30,1,776.02,Medium,2025-11-17,True
CON0101,CRE0228,Codecademy,Parenting & Family,7,2,5,True,False,False,False,45,2,4836.84,High,2025-12-07,True
CON0102,CRE0480,Skillshare,Photography & Videography,7,3,4,True,False,False,True,90,Unlimited,2867.36,Critical,2025-10-11,False
CON0103,CRE0089,Magic Spoon,Language Learning,7,4,3,False,True,False,False,30,2,3059.16,Critical,2026-01-17,False
CON0104,CRE0594,Brilliant,Gaming & Esports,7,1,6,False,False,False,False,30,Unlimited,1245.62,Medium,2025-03-30,True
CON0105,CRE0116,Morning Brew,Finance & Investing,7,3,4,False,True,False,False,30,2,6083.14,Critical,2025-08-20,True
CON0106,CRE0464,Squarespace,Gaming & Esports,7,4,3,False,True,False,False,30,Unlimited,1262.11,Critical,2025-07-28,True
CON0107,CRE0243,Toptal,Pet Care,7,1,6,False,False,False,False,30,Unlimited,1162.5,Medium,2025-04-17,True
CON0108,CRE0163,Hubspot,Education & Online Courses,7,1,6,False,False,False,False,30,2,1562.52,Medium,2025-12-11,False
CON0109,CRE0269,ExpressVPN,Pet Care,7,3,4,True,True,False,False,90,1,2387.81,Critical,2025-09-18,False
CON0110,CRE0513,Airtable,Language Learning,7,0,7,True,False,False,False,45,2,0.0,Low,2026-02-28,False
CON0111,CRE0592,Calm,Education & Online Courses,7,2,5,True,False,False,False,30,2,4372.7,High,2025-08-01,True
CON0112,CRE0578,Fiverr,Language Learning,7,3,4,True,True,False,True,90,1,6195.48,Critical,2025-11-07,False
CON0113,CRE0326,Headspace,Music & Audio Production,7,1,6,False,False,False,True,60,Unlimited,1848.7,Medium,2025-10-27,False
CON0114,CRE0497,Morning Brew,Finance & Investing,7,3,4,True,False,False,False,30,Unlimited,6113.99,Critical,2025-10-23,True
CON0115,CRE0135,Acorns,Business & Entrepreneurship,7,4,3,True,True,False,True,45,Unlimited,4304.39,Critical,2025-03-29,False
CON0116,CRE0055,Headspace,Comedy & Entertainment,7,2,5,False,False,False,False,90,Unlimited,827.28,High,2025-09-16,True
CON0117,CRE0343,Public,Home Decor & Interior Design,7,0,7,True,False,False,False,60,Unlimited,0.0,Low,2025-09-03,False
CON0118,CRE0332,Hover,Sustainable Living,7,3,4,False,False,False,True,90,3,4413.31,Critical,2026-01-06,False
CON0119,CRE0341,Wix,Parenting & Family,7,1,6,False,False,False,False,90,2,1000.7,Medium,2026-03-19,False
CON0120,CRE0331,Acorns,Parenting & Family,7,1,6,False,False,False,False,45,2,1315.26,Medium,2025-08-16,True
CON0121,CRE0573,Betterment,Beauty & Fashion,7,4,3,False,True,False,True,30,Unlimited,3949.4,Critical,2025-10-20,False
CON0122,CRE0071,Monday.com,Food & Cooking,7,2,5,True,False,False,True,45,3,1088.55,High,2025-10-15,True
CON0123,CRE0192,Codecademy,Personal Development,7,2,5,True,False,False,False,90,1,4855.53,High,2026-01-29,False
CON0124,CRE0013,Hover,Personal Development,7,1,6,False,False,False,True,30,3,847.45,Medium,2025-09-05,True
CON0125,CRE0199,Grammarly,Food & Cooking,7,0,7,False,False,False,False,30,1,0.0,Low,2025-06-09,False
CON0126,CRE0219,Notion,Finance & Investing,7,2,5,True,False,False,False,90,Unlimited,883.59,High,2025-04-30,False
CON0127,CRE0367,LastPass,Sustainable Living,7,0,7,True,False,False,False,30,Unlimited,0.0,Low,2025-03-28,False
CON0128,CRE0482,Noom,Language Learning,7,4,3,False,False,False,True,60,2,9766.68,Critical,2025-10-30,False
CON0129,CRE0169,Noom,Business & Entrepreneurship,7,2,5,True,False,False,False,30,Unlimited,4883.65,High,2026-01-05,False
CON0130,CRE0293,Wix,Food & Cooking,7,2,5,True,False,False,True,30,3,4667.25,High,2025-08-05,True
CON0131,CRE0564,Notion,Business & Entrepreneurship,7,1,6,False,False,False,False,90,2,2303.82,Medium,2025-12-04,False
CON0132,CRE0262,Factor Meals,Beauty & Fashion,7,3,4,False,False,False,True,60,Unlimited,4798.84,Critical,2025-09-23,False
CON0133,CRE0548,Calm,Parenting & Family,7,1,6,True,False,False,True,60,Unlimited,844.23,Medium,2026-01-31,False
CON0134,CRE0121,Betterment,Education & Online Courses,7,0,7,True,False,False,False,60,1,0.0,Low,2025-04-25,True
CON0135,CRE0553,Squarespace,Food & Cooking,7,1,6,False,False,False,False,30,2,1471.98,Medium,2026-02-17,False
CON0136,CRE0509,Asana,Technology & Software,7,3,4,True,False,False,True,30,3,5793.51,Critical,2025-10-24,True
CON0137,CRE0458,Canva,Music & Audio Production,7,1,6,False,False,False,False,60,2,1396.08,Medium,2025-09-02,True
CON0138,CRE0496,Raycon,Parenting & Family,7,1,6,False,False,False,False,30,Unlimited,1486.66,Medium,2025-11-23,False
CON0139,CRE0159,Monday.com,Language Learning,7,0,7,True,False,False,False,30,2,0.0,Low,2025-07-20,True
CON0140,CRE0498,Toptal,Home Decor & Interior Design,7,0,7,True,False,False,False,30,Unlimited,0.0,Low,2025-04-03,True
CON0141,CRE0583,Skillshare,Music & Audio Production,7,2,5,True,False,False,False,45,3,4756.15,High,2025-08-15,True
CON0142,CRE0144,Betterment,Home Decor & Interior Design,7,3,4,False,False,False,False,30,2,1950.63,Critical,2025-06-17,True
CON0143,CRE0149,Toptal,Gaming & Esports,7,3,4,True,False,False,False,30,2,2945.15,Critical,2025-05-10,False
CON0144,CRE0536,Monday.com,Photography & Videography,7,0,7,True,False,False,False,45,1,0.0,Low,2026-02-07,True
CON0145,CRE0372,Hover,Language Learning,7,2,5,False,False,False,False,30,Unlimited,633.31,High,2026-03-07,False
CON0146,CRE0220,Calm,Beauty & Fashion,7,0,7,False,False,False,False,60,2,0.0,Low,2026-02-17,False
CON0147,CRE0198,Shopify,Food & Cooking,7,2,5,True,False,False,False,30,Unlimited,3874.21,High,2025-08-30,False
CON0148,CRE0318,Headspace,Science & Space,7,2,5,True,False,False,True,30,2,4853.26,High,2026-02-10,True
CON0149,CRE0017,Blue Apron,Parenting & Family,7,1,6,True,False,False,False,60,1,1190.36,Medium,2026-02-19,False
CON0150,CRE0092,Skillshare,Music & Audio Production,7,1,6,False,False,False,False,30,Unlimited,2144.26,Medium,2025-06-28,False
CON0151,CRE0159,Codecademy,Comedy & Entertainment,7,1,6,True,False,False,False,90,2,1280.14,Medium,2026-01-27,False
CON0152,CRE0251,Notion,Personal Development,7,2,5,True,False,False,True,30,2,3587.81,High,2025-07-30,False
CON0153,CRE0005,Skillshare,Pet Care,7,1,6,True,False,False,False,30,2,1235.26,Medium,2025-08-11,True
CON0154,CRE0130,MVMT Watches,Music & Audio Production,7,2,5,False,False,False,False,30,2,738.49,High,2025-12-09,False
CON0155,CRE0022,MasterClass,Comedy & Entertainment,7,1,6,True,False,False,False,90,1,912.46,Medium,2025-10-12,True
CON0156,CRE0454,Shopify,Photography & Videography,7,1,6,True,False,False,False,90,2,846.03,Medium,2026-03-09,False
CON0157,CRE0525,LastPass,Education & Online Courses,7,3,4,False,True,False,False,60,1,5970.81,Critical,2025-12-08,True
CON0158,CRE0298,Dollar Shave Club,Pet Care,7,2,5,True,False,False,False,30,Unlimited,3301.98,High,2025-07-20,True
CON0159,CRE0075,Dollar Shave Club,Language Learning,7,4,3,True,True,False,True,45,Unlimited,5074.73,Critical,2026-03-18,True
CON0160,CRE0528,Brilliant,Travel & Adventure,7,1,6,False,False,False,False,30,2,324.09,Medium,2025-03-26,False
CON0161,CRE0175,Asana,Science & Space,7,0,7,False,False,False,False,90,3,0.0,Low,2025-09-29,True
CON0162,CRE0154,Headspace,Sustainable Living,7,1,6,False,False,False,True,90,3,479.95,Medium,2025-06-09,True
CON0163,CRE0486,Robinhood,Travel & Adventure,7,4,3,False,False,False,False,30,2,4452.64,Critical,2025-05-09,True
CON0164,CRE0285,NordVPN,Personal Development,7,3,4,True,True,False,False,90,2,4948.57,Critical,2026-02-22,True
CON0165,CRE0506,MVMT Watches,Finance & Investing,7,1,6,False,False,False,False,45,2,731.52,Medium,2025-07-16,True
CON0166,CRE0490,Acorns,Home Decor & Interior Design,7,1,6,True,False,False,True,30,Unlimited,2030.92,Medium,2025-11-27,True
CON0167,CRE0278,Acorns,Travel & Adventure,7,0,7,False,False,False,False,90,2,0.0,Low,2025-11-03,True
CON0168,CRE0340,Airtable,Personal Development,7,0,7,False,False,False,False,30,2,0.0,Low,2025-04-14,True
CON0169,CRE0222,LastPass,Language Learning,7,3,4,False,False,False,False,90,1,1999.01,Critical,2025-08-07,False
CON0170,CRE0222,Wix,Parenting & Family,7,0,7,False,False,False,False,90,2,0.0,Low,2026-01-02,True
CON0171,CRE0204,Hubspot,Personal Development,7,2,5,False,False,False,False,45,3,1925.05,High,2026-03-17,False
CON0172,CRE0471,Public,Education & Online Courses,7,0,7,False,False,False,False,90,2,0.0,Low,2026-01-21,False
CON0173,CRE0005,Hubspot,Business & Entrepreneurship,7,0,7,False,False,False,False,30,3,0.0,Low,2025-03-30,True
CON0174,CRE0254,Noom,Education & Online Courses,7,1,6,True,False,False,False,90,3,2149.94,Medium,2025-07-14,False
CON0175,CRE0085,Noom,Business & Entrepreneurship,7,0,7,True,False,False,False,30,2,0.0,Low,2026-02-23,False
CON0176,CRE0386,Public,Comedy & Entertainment,7,3,4,False,True,False,True,30,Unlimited,5407.25,Critical,2025-12-10,False
CON0177,CRE0381,Audible,Finance & Investing,7,4,3,False,True,False,True,90,1,5804.46,Critical,2025-11-02,False
CON0178,CRE0514,Codecademy,Home Decor & Interior Design,7,0,7,True,False,False,False,90,1,0.0,Low,2026-03-05,True
CON0179,CRE0242,Airtable,Business & Entrepreneurship,7,4,3,True,False,False,False,30,2,3586.17,Critical,2025-04-15,False
CON0180,CRE0281,ExpressVPN,Parenting & Family,7,3,4,True,False,False,True,60,Unlimited,2125.38,Critical,2025-07-08,True
CON0181,CRE0064,Dollar Shave Club,Sustainable Living,7,3,4,True,False,False,False,60,3,3946.69,Critical,2026-02-02,False
CON0182,CRE0375,Canva,Photography & Videography,7,1,6,False,False,False,True,60,1,2320.68,Medium,2025-09-27,False
CON0183,CRE0442,Public,Parenting & Family,7,3,4,True,True,False,False,90,Unlimited,3065.8,Critical,2025-08-17,True
CON0184,CRE0256,MasterClass,Pet Care,7,0,7,False,False,False,False,90,2,0.0,Low,2026-01-16,False
CON0185,CRE0222,ExpressVPN,Language Learning,7,2,5,False,False,False,False,90,2,4763.0,High,2025-07-08,False
CON0186,CRE0017,Headspace,Education & Online Courses,7,3,4,False,False,False,False,30,1,2115.51,Critical,2025-10-25,True
CON0187,CRE0166,Squarespace,Language Learning,7,2,5,False,False,False,False,60,2,1123.52,High,2025-12-18,False
CON0188,CRE0331,Dollar Shave Club,Home Decor & Interior Design,7,2,5,True,False,False,False,30,3,4466.77,High,2025-06-04,False
CON0189,CRE0131,Ridge Wallet,Travel & Adventure,7,3,4,False,True,False,False,90,1,5941.59,Critical,2025-12-10,False
CON0190,CRE0158,Canva,Business & Entrepreneurship,7,3,4,True,False,False,True,30,3,1039.91,Critical,2026-01-16,False
CON0191,CRE0379,Canva,Business & Entrepreneurship,7,4,3,False,True,False,False,30,2,9908.87,Critical,2025-10-11,False
CON0192,CRE0194,Headspace,Travel & Adventure,7,4,3,False,False,False,True,30,Unlimited,5898.79,Critical,2025-08-23,False
CON0193,CRE0175,Public,Finance & Investing,7,4,3,True,True,False,False,30,2,7012.56,Critical,2026-01-02,True
CON0194,CRE0288,Betterment,Home Decor & Interior Design,7,2,5,True,False,False,True,60,2,1017.92,High,2025-09-11,False
CON0195,CRE0420,HelloFresh,Beauty & Fashion,7,0,7,False,False,False,False,30,Unlimited,0.0,Low,2025-08-01,True
CON0196,CRE0468,Grammarly,Home Decor & Interior Design,7,3,4,False,True,False,True,30,2,2985.55,Critical,2026-01-03,False
CON0197,CRE0405,Notion,Technology & Software,7,2,5,True,False,False,False,90,3,1672.97,High,2025-07-24,False
CON0198,CRE0390,Monday.com,Parenting & Family,7,0,7,True,False,False,False,30,1,0.0,Low,2025-09-07,False
CON0199,CRE0074,Hover,Beauty & Fashion,7,3,4,True,False,False,False,30,Unlimited,2112.76,Critical,2026-03-02,True
CON0200,CRE0442,Magic Spoon,Science & Space,7,1,6,True,False,False,False,30,Unlimited,2475.89,Medium,2025-05-06,True
CON0201,CRE0020,Notion,Parenting & Family,7,4,3,False,True,False,True,90,Unlimited,9164.75,Critical,2025-08-23,False
CON0202,CRE0373,Skillshare,Finance & Investing,7,2,5,False,False,False,True,45,Unlimited,2076.16,High,2025-08-10,False
CON0203,CRE0551,Shopify,Science & Space,7,1,6,True,False,False,False,30,Unlimited,2297.24,Medium,2025-08-27,False
CON0204,CRE0055,Betterment,Comedy & Entertainment,7,3,4,True,False,False,False,30,2,4614.36,Critical,2025-04-17,False
CON0205,CRE0313,Factor Meals,Gaming & Esports,7,2,5,True,False,False,True,30,Unlimited,944.33,High,2025-05-09,False
CON0206,CRE0118,Raycon,Education & Online Courses,7,2,5,True,False,False,False,30,Unlimited,4822.28,High,2026-03-08,False
CON0207,CRE0202,Brilliant,Language Learning,7,2,5,True,False,False,True,30,1,3887.42,High,2026-03-05,False
CON0208,CRE0593,ExpressVPN,Pet Care,7,3,4,True,False,False,False,45,3,4238.31,Critical,2026-02-10,True
CON0209,CRE0297,Ridge Wallet,Pet Care,7,4,3,True,True,False,True,30,Unlimited,9238.6,Critical,2025-10-26,True
CON0210,CRE0166,Airtable,Business & Entrepreneurship,7,2,5,True,False,False,False,30,2,733.19,High,2025-10-07,True
CON0211,CRE0256,Athletic Greens,Business & Entrepreneurship,7,1,6,False,False,False,False,60,Unlimited,2289.06,Medium,2025-12-08,True
CON0212,CRE0487,ExpressVPN,Travel & Adventure,7,1,6,False,False,False,False,45,1,1267.83,Medium,2025-11-11,True
CON0213,CRE0324,Raycon,Home Decor & Interior Design,7,1,6,True,False,False,False,90,2,1320.34,Medium,2025-06-03,False
CON0214,CRE0195,Public,Home Decor & Interior Design,7,3,4,False,True,False,True,45,2,3388.51,Critical,2025-07-29,False
CON0215,CRE0231,Codecademy,Pet Care,7,1,6,False,False,False,False,30,Unlimited,2028.07,Medium,2025-07-27,False
CON0216,CRE0266,HelloFresh,Education & Online Courses,7,3,4,True,False,False,True,90,1,2027.76,Critical,2026-02-05,True
CON0217,CRE0530,Audible,Travel & Adventure,7,0,7,False,False,False,False,90,1,0.0,Low,2025-07-07,True
CON0218,CRE0265,Hubspot,Technology & Software,7,1,6,False,False,False,False,60,2,731.17,Medium,2025-10-24,True
CON0219,CRE0155,Grammarly,Technology & Software,7,0,7,True,False,False,False,60,Unlimited,0.0,Low,2026-02-27,True
CON0220,CRE0536,Hubspot,Education & Online Courses,7,1,6,False,False,False,False,30,2,2160.89,Medium,2026-02-03,True
CON0221,CRE0105,Brilliant,Finance & Investing,7,1,6,False,False,False,False,90,1,357.83,Medium,2025-10-02,True
CON0222,CRE0066,Monday.com,Beauty & Fashion,7,3,4,True,False,False,True,90,3,5834.65,Critical,2026-02-11,True
